X,GO_Number,CHEBI,Chebicategory,parents,hasRole,decision,importantCategory
1,GO:0005215,NA,NA,,NA,NA,
2,GO:0005319,transports_or_maintains_localization_of CHEBI:18059 !lipid,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059,NA,7.D Other organic,
3,GO:0005326,results_in_transport_of CHEBI:25512 ! neurotransmitter,OTHER,CHEBI:50906;CHEBI:24432;CHEBI:33280;CHEBI:25512,NA,OTHER,
4,GO:0008565,results_in_transport_of CHEBI:36080 ! protein,5.F protein,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:36080,NA,5.F protein,
5,GO:0017089,results_in_transport_of CHEBI:33563 ! glycolipid,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35740;CHEBI:33563,NA,7.D Other organic,
6,GO:0022857,NA,NA,,NA,NA,
7,GO:0034202,NA,NA,,NA,NA,
8,GO:0034437,results_in_transport_of CHEBI:17089 ! glycoprotein,5.F protein,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:36080;CHEBI:33837;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:17089,NA,5.F protein,
9,GO:0005324,transports_or_maintains_localization_of CHEBI:15904 !long-chain fatty acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:18059;CHEBI:35366;CHEBI:15904,NA,4.A monocarboxylic acid,
10,GO:0005548,transports_or_maintains_localization_of CHEBI:16247 !phospholipid,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:18059;CHEBI:16247,NA,7.B organophosphorus,
