UniprotID,TCDBID,Substrates,Column1,Column2,Column3
WP_004567541.1,1.A.23.3.4, ,,,
G3XCV6,1.A.23.8.1, ,,,
KKU34411,1.A.23.8.2, ,,,
WP_092311603.1,1.A.23.8.3, ,,,
WP_076580323.1,1.A.23.8.4, ,,,
WP_068170239.1,1.A.23.8.5, ,,,
Q9UKL4,1.A.24.1.13, ,,,
AKM95170,1.A.3.1.8, ,,,
P11021,1.A.33.1.6, ,,,
G6BHQ4,1.A.34.1.4, ,,,
Q18B63,1.A.34.1.4, ,,,
6BPQ_A,1.A.4.5.11, ,,,
Q7TN37,1.A.4.5.12, ,,,
U3JD03,1.A.4.5.13, ,,,
M2Y919,1.A.46.2.10, ,,,
D8UGV3,1.A.46.2.11, ,,,
Q45247,2.A.52.1.6, Unknown,,,
Q84HG2,1.B.14.8.6,(Thio)quinolobactin ,,,
E1SNA6,2.A.1.83.2,1-arseno-3-phosphoglycerate ,,,
D7FPK8,2.A.1.83.3,1-arseno-3-phosphoglycerate ,,,
O24723,2.A.1.15.8,1-hydroxy-2-naphthoate ,,,
O88446,2.A.1.19.6,"1-methyl-4-phenylpyridinium,dopamine,Monoamineneurotransmitters ",,,
P96062,3.A.1.11.5,2-aminoethylphosphonate ,,,
P96063,3.A.1.11.5,2-aminoethylphosphonate ,,,
P96064,3.A.1.11.5,2-aminoethylphosphonate ,,,
P96065,3.A.1.11.5,2-aminoethylphosphonate ,,,
Q8XEV7,2.A.1.7.5,"2-deoxy-D-ribose,2-deoxyribose ",,,
P0A712,2.A.10.1.2,2-keto-3-deoxygluconate ,,,
P50847,2.A.10.1.3,2-keto-3-deoxygluconate ,,,
P15701,2.A.10.1.1,"2-keto-3-deoxygluconate,H+ ",,,
D5ATK1,2.A.56.3.4,"2-ketomonocarboxylates,2-oxoisovalerate,2-oxobutyrate,2-oxoisocaproate,2-oxo-3-methylvalerate,pyruvate ",,,
D5ATK0,2.A.56.3.4,"2-ketomonocarboxylates,2-oxoisovalerate,2-oxobutyrate,2-oxoisocaproate,2-oxo-3-methylvalerate,pyruvate ",,,
D5ALT6,2.A.56.3.4,"2-ketomonocarboxylates,2-oxoisovalerate,2-oxobutyrate,2-oxoisocaproate,2-oxo-3-methylvalerate,pyruvate ",,,
P54745,4.A.2.1.3,2-O-alpha-mannosylD-glycerate ,,,
Q03028,2.A.29.2.8,"2-oxoadipate,2-oxoglutarate,Adipate,Glutarate,2-oxopimelate,Oxaloacetate,Citrate,malate ",,,
Q9BQT8,2.A.29.2.4,"2-oxoadipate,2-oxoglutarate,Pimelate,2-oxopimelate,2-aminoadipate,Oxaloacetate,Citrate ",,,
Q99297,2.A.29.2.5,"2-oxoadipate,2-oxoglutarate,Pimelate,2-oxopimleate,Oxaloacetate,Citrate,malate ",,,
Q41364,2.A.47.3.1,2-oxoglutarate ,,,
Q02978,2.A.29.2.13,"2-oxoglutarate,malate ",,,
O69759,2.A.1.4.10,"2-phosphonoacetate,2-phosponopropionate ",,,
O07800,2.A.6.5.4,"2,3-diacyl-alpha, alpha'-D-trehalose-2'-sulfate",,,
P37674,2.A.56.1.2,"2,3-diketo-L-gulonate ",,,
P37675,2.A.56.1.2,"2,3-diketo-L-gulonate ",,,
P37676,2.A.56.1.2,"2,3-diketo-L-gulonate ",,,
Q845L9,2.A.1.45.1,"2,4-diacetylphloroglucinol ",,,
Q46M63,2.A.1.15.3,"2,4-dichlorophenoxyacetate ",,,
Q8VUZ0,2.A.1.15.14,"2,4-dichlorophenoxyaceticacid ",,,
P45843,3.A.1.204.17,"3-hydroxykynurenine,pigmentprecursors ",,,
V5BTU4,9.B.142.2.8,"4-amino-4-deoxy-l-arabinose,LPS ",,,
