,UniprotID,GO.annotation.,X.1,Notes,Hcategory,Mcategory,Lcategory,category,Chebicategory,decision,importantCategory
1,P9WJN5,"GO:0022836; F:gated channel activity; IDA:MTBBASE, GO:0008381; F:mechanosensitive ion channel activity; IDA:MTBBASE, GO:0042802; F:identical protein binding; IPI:IntAct.",1.A. Nonselective,H. CONFIDENCE,1.A Nonselective,,,1.A Nonselective*IDA:MTBBASE,1.A Nonselective,1.A Nonselective,
2,Q8VZL4,GO:0008381; F:mechanosensitive ion channel activity; IDA:TAIR.,1.A. Nonselective,H. CONFIDENCE,1.A Nonselective,,,1.A Nonselective*IDA:TAIR.,1.A Nonselective,1.A Nonselective,
3,Q9SYM1,GO:0008381; F:mechanosensitive ion channel activity; IBA:GO_Central.,1.A. Nonselective,H. CONFIDENCE,,1.A Nonselective,,1.A Nonselective*IBA:GO_Central.,1.A Nonselective,1.A Nonselective,
4,P0A742,"GO:0042802; F:identical protein binding; IDA:EcoCyc, GO:0008381; F:mechanosensitive ion channel activity; IDA:EcoCyc.",1.A. Nonselective,H. CONFIDENCE,1.A Nonselective,,,1.A Nonselective*IDA:EcoCyc.,1.A Nonselective,1.A Nonselective,
5,Q9LYG9,GO:0008381; F:mechanosensitive ion channel activity; IDA:TAIR.,1.A. Nonselective,H. CONFIDENCE,1.A Nonselective,,,1.A Nonselective*IDA:TAIR.,1.A Nonselective,1.A Nonselective,
6,P0C0S1,"GO:0008381; F:mechanosensitive ion channel activity; IDA:UniProtKB, GO:0042802; F:identical protein binding; IPI:IntAct.",1.A. Nonselective,H. CONFIDENCE,1.A Nonselective,,,1.A Nonselective*IDA:UniProtKB,1.A Nonselective,1.A Nonselective,
7,Q01501,"GO:0015288; F:porin activity; IDA:dictyBase, GO:0005244; F:voltage-gated ion channel activity; IDA:dictyBase, GO:0008308; F:voltage-gated anion channel activity; IEA:InterPro.",1.A. Nonselective,H. CONFIDENCE,1.A Nonselective,,1.D inorganic anion,1.A Nonselective*IDA:dictyBase;1.D inorganic anion*IEA:InterPro.,"1.A Nonselective,1.D inorganic anion",1.D inorganic anion,
8,P23242,"GO:0048487; F:beta-tubulin binding; IDA:MGI, GO:0005243; F:gap junction channel activity; IDA:MGI, GO:1990782; F:protein tyrosine kinase binding; IPI:CAFA, GO:0097110; F:scaffold protein binding; IPI:CAFA, GO:0005102; F:signaling receptor binding; IPI:MGI, GO:0071253; F:connexin binding; ISO:MGI, GO:0097718; F:disordered domain specific binding; ISO:MGI, GO:1903763; F:gap junction channel activity involved in cell communication by electrical coupling; ISO:MGI, GO:0015075; F:ion transmembrane transporter activity; ISO:MGI, GO:0030165; F:PDZ domain binding; ISO:MGI, GO:0019904; F:protein domain specific binding; ISO:MGI,GO:0017124; F:SH3 domain binding; ISO:MGI, GO:0086075; F:gap junction channel activity involved in cardiac conduction electrical coupling; TAS:UniProtKB.",1.A. Nonselective,H. CONFIDENCE,,1.A Nonselective,,1.A Nonselective*ISO:MGI,1.A Nonselective,1.A Nonselective,
9,M9MSG8,"GO:0008381; F:mechanosensitive ion channel activity; IDA:FlyBase, GO:0005261; F:cation channel activity; IBA:GO_Central.",1.A. Nonselective,H. CONFIDENCE,1.A Nonselective,1.C inorganic cation,,1.A Nonselective*IDA:FlyBase;1.C inorganic cation*IBA:GO_Central.,"1.A Nonselective,1.C inorganic cation",1.C inorganic cation,
10,Q96DB9,"GO:0003779; F:actin binding; IDA:UniProtKB, GO:0045296; F:cadherin binding; IDA:UniProtKB, GO:0017080; F:sodium channel regulator activity; IBA:GO_Central, GO:0005216; F:ion channel activity; IEA:InterPro.",1.A. Nonselective,L2. CONFIDANCE,,,1.A Nonselective,1.A Nonselective*IEA:InterPro.,1.A Nonselective,1.A Nonselective,
